,Year,Cornell University,University of Pennsylvania,Columbia University
0,2013,0,6,1
1,2019,2,5,5
2,2016,0,6,0
3,2017,1,5,1
4,2014,1,8,4
5,2018,1,4,1
6,2015,2,6,3
7,2020,0,4,1
